formula,Crystallinity,Temperature (K),log Resistivity,Power factor (W*m/K^2),ZT,Thermal conductivity (W/(m*K)),Seebeck coefficient (uV/K)
Zr$_{0.94}$Y$_{0.06}$NiSn$_{0.96}$Sb$_{0.04}$,polycrystalline,300.0001122,-3.112945622,1.10E-03,0.039441739,8.35,-92
In$_{1.9}$Ge$_{0.1}$O$_{3}$,polycrystalline,1000.000131,-2.680554553,6.61E-04,0.262891577,2.51443,-117.444
Fe$_{0.978}$Co$_{0.00196}$Si$_{1.96}$Y$_{0.12}$O$_{0.18}$,polycrystalline,1000.000171,-1.669586227,2.16E-05,0.006710396,3.22,-68
Ca$_{0.9}$Bi$_{0.1}$MnO$_{3}$,polycrystalline,1000.000171,-2.28488846,1.78E-04,0.096459952,1.8414,-96.0071
Mn$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,300.0001298,-3.160908653,1.08E-04,0.022591533,1.4323,27.2882
In$_{0.1}$Co$_{4}$Sb$_{12}$,polycrystalline,400.0003317,-2.468203143,2.24E-03,0.469668971,1.90897,-276.16
CuCr$_{0.98}$Mg$_{0.02}$O$_{2}$,polycrystalline,1000.000103,-0.634182675,7.02E-05,0.014529805,4.833,403.782
Pb$_{0.96}$Sr$_{0.4}$TeNa$_{0.2}$,polycrystalline,300.0004425,-3.168202508,9.66E-04,1.02E-01,2.85E+00,81
Ti$_{0.99}$Nb$_{0.01}$NiSn,polycrystalline,1000.000721,-2.94221298,2.61E-03,0.414473123,6.2917,-172.594
Fe$_{0.998}$Co$_{0.002}$Si$_{2}$,polycrystalline,1000.000477,-2.218244625,1.26E-04,0.025093971,5.02,-87.3
Mo$_{6}$Te$_{7}$S,polycrystalline,1000.000204,-3.079354999,5.35E-05,0.011602871,4.60973,21.1078
Ca$_{2.4}$Na$_{0.3}$Bi$_{0.3}$Co$_{4}$O$_{9}$,polycrystalline,400.000889,-2.035033625,2.27E-04,0.047717381,1.9,144.6
LaFe$_{3}$CoSb$_{12}$,polycrystalline,400.0009656,-2.737470602,1.11E-03,0.277984857,1.6,142.661
NbCoSn,single crystal,400.0008871,-2.849265045,1.33E-03,0.066676394,7.9584,-137.005
NbCoSn,single crystal,300.0007901,-2.910692012,1.16E-03,0.050251597,6.90444,-119.188
La$_{3}$Te$_{3.65}$Sb$_{0.35}$,polycrystalline,700.0002368,-2.728158393,4.07E-04,0.143755415,1.98,-87.2
SrNd$_{0.2}$Ti$_{0.8}$O$_{3}$,polycrystalline,300.0003783,-2.735598969,6.44E-05,0.003492303,5.53,-34.4
BaPbO$_{3}$,polycrystalline,300.000007,-3.362773529,1.56E-04,0.012368285,3.78035,-26
CaGd$_{0.94}$Mn$_{0.06}$O$_{3}$,polycrystalline,300.0001932,-1.837272689,7.48E-05,0.00787002,2.84951,-104.27
In$_{1.94}$Ge$_{0.06}$O$_{3}$,polycrystalline,700.000048,-2.855158138,5.62E-04,0.100865679,3.89999,-88.5677
CaMnO$_{3}$,polycrystalline,700.0008992,-0.632444685,6.03E-05,0.019480754,2.16539,-374.8
CeFe$_{3.5}$Co$_{0.5}$Sb$_{14}$,polycrystalline,700.0007411,-2.970616222,2.33E-03,0.6558871,2.49,158
Ba$_{8}$Ga$_{16}$Ge$_{30}$,polycrystalline,700.0006363,-2.334419009,1.79E-03,0.627006479,2,288
Ca$_{2.94}$Na$_{0.06}$AlSb$_{3}$,polycrystalline,400.0006821,-1.472370099,6.68E-05,0.021028529,1.27,150
Zr$_{0.35}$Hf$_{0.35}$Ti$_{0.3}$NiSn,polycrystalline,300.0007878,-2.065245592,1.59E-03,0.150488885,3.17,-369.912
In$_{0.05}$Co$_{4}$Sb$_{12}$,polycrystalline,300.0002481,-2.223610487,1.31E-03,0.188435535,2.08661,-279.86
CaYb$_{0.1}$Mn$_{0.9}$O$_{3}$,polycrystalline,1000.000102,-2.1065373,2.11E-04,0.133018362,1.58304,-128.361
CaMnO$_{3}$,polycrystalline,700.0000988,-0.314090635,2.27E-05,0.004804282,3.3114,-332.067
Cr$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,1000.00074,-3.08914997,6.01E-04,0.188309984,3.1915,69.9615
CaYb$_{0.15}$Mn$_{0.85}$O$_{3}$,polycrystalline,1000.000647,-2.224992814,1.71E-04,0.101172463,1.69435,-101.05
Sr$_{2}$Ti$_{0.8}$Nb$_{0.2}$O$_{4}$,polycrystalline,700.0006078,-2.062769961,1.41E-04,0.039679604,2.48,-110.3
CuCrO$_{2}$,polycrystalline,400.0000046,1.271423368,4.49E-06,0.000292025,6.1557,916.284
Zr$_{0.5}$Hf$_{0.5}$NiSn,polycrystalline,300.0003826,-2.030418696,3.37E-04,0.0256,3.948955807,-177.252
Fe$_{0.978}$Co$_{0.00196}$Si$_{1.96}$Y$_{0.04}$O$_{0.06}$,polycrystalline,400.0002839,-1.249491605,1.90E-04,0.018574785,4.09,-327
Ca$_{2.4}$Na$_{0.3}$Bi$_{0.3}$Co$_{4}$O$_{9}$,polycrystalline,1000.000282,-2.117931056,5.51E-04,0.315065412,1.75,205
Ca$_{0.96}$Bi$_{0.04}$Mn$_{0.96}$Nb$_{0.04}$O$_{3}$,polycrystalline,700.0001827,-1.903019984,2.15E-04,0.080246985,1.8785,-164.08
Ca$_{0.9}$Bi$_{0.1}$MnO$_{3}$,polycrystalline,700.0008191,-2.301290477,2.87E-04,0.090646689,2.2145,-119.707
Sr$_{3}$Ti$_{1.6}$Nb$_{0.4}$O$_{7}$,polycrystalline,300.0001551,-2.73078229,9.67E-05,0.005849969,4.96,-42.4
Ca$_{0.98}$Bi$_{0.02}$Mn$_{0.98}$Nb$_{0.02}$O$_{3}$,polycrystalline,400.0009167,-1.666809993,6.60E-05,0.011603063,2.27454,-119.21
In$_{1.998}$Ge$_{0.002}$O$_{3}$,polycrystalline,1000.000334,-2.347221998,7.03E-04,0.240031089,2.93072,-177.832
Bi$_{2}$Te$_{3}$,single crystal,300.0005659,-3.346787486,6.73E-03,0.5025,4.016716418,-174
Zn$_{4}$Sb$_{3}$,polycrystalline,400.0006029,-2.58675222,8.23E-04,0.496100779,0.6638,146.015
Zr$_{0.5}$Hf$_{0.5}$NiSn$_{1.994}$Sb$_{0.006}$,polycrystalline,400.0003703,-2.902187593,4.48E-03,0.678,2.645541521,-237
TlTiPS$_{5}$,polycrystalline,300.0005513,4.161368002,1.77E-10,6.76E-08,0.783,-160
In$_{0.1}$Co$_{4}$Sb$_{12}$,polycrystalline,700.0002084,-2.362964816,2.21E-03,0.889593963,1.74246,-309.85
Ba$_{8}$Au$_{5.59}$Si$_{39.01}$,polycrystalline,300.0005218,-2.630784143,4.82E-04,0.081692308,1.77,106.2
La$_{3}$Te$_{3.35}$Bi$_{0.65}$,polycrystalline,700.0009277,-2.359518563,3.90E-04,0.175137182,1.56,-130.6
Fe$_{0.978}$Co$_{0.00196}$Si$_{1.96}$Y$_{0.04}$O$_{0.06}$,polycrystalline,300.0005495,-0.894489815,7.93E-05,0.005183852,4.59,-318
Sr$_{3}$Ti$_{1.6}$Nb$_{0.4}$O$_{7}$,polycrystalline,700.0005006,-2.367355971,2.25E-04,0.057941815,2.72,-98.3
CuCr$_{0.96}$Mg$_{0.04}$O$_{2}$,polycrystalline,300.000385,-0.97190478,3.63E-05,0.001171477,9.2934,196.762
La$_{3}$Te$_{3.8}$Sb$_{0.2}$,polycrystalline,1000.00023,-2.987162775,7.48E-04,0.281365063,2.66,-87.8
LaFe$_{3}$CoSb$_{12}$,polycrystalline,700.0000541,-2.634954022,1.91E-03,0.852255776,1.57,210.479
Mo$_{6}$Te$_{6}$S$_{2}$,polycrystalline,1000.000163,-3,2.14E-05,0.006182272,3.45435,14.6136
Fe$_{0.978}$Co$_{0.00196}$Si$_{1.96}$Y$_{0.12}$O$_{0.18}$,polycrystalline,400.0000466,-0.825358807,3.45E-05,0.005222357,2.64,-227
CeFe$_{3}$CoSb$_{12}$,polycrystalline,300.0000107,-2.987162775,9.90E-04,0.15555838,1.91,101
Zr$_{0.15}$Hf$_{0.15}$Ti$_{0.7}$NiSn,polycrystalline,400.0009872,-2.503943968,2.24E-03,0.291429498,3.072,-264.835
Ca$_{2.94}$Na$_{0.06}$AlSb$_{3}$,polycrystalline,300.0006796,-1.229884705,1.13E-05,0.002050394,1.65,81.5
Fe$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,700.0005617,-3.119406468,2.70E-04,0.068003082,2.775,45.2526
Sb$_{2}$Te$_{3}$,single crystal,300.0008959,-3.913640169,3.25E-03,0.1875,5.205245902,63
Na$_{0.02}$PbTe,polycrystalline,700.0001116,-2.766394781,2.65E-03,1.329723145,1.39286,212.86
Ni$_{2.0}$Mo$_{6}$S$_{8}$,polycrystalline,1000.000216,-3.329504592,2.36E-04,0.039452953,5.9752,33.2249
Mg$_{2}$Si$_{0.6}$Ge$_{0.4}$Ag$_{0.02}$,polycrystalline,400.0004848,-1.54668166,8.78E-05,0.011364424,3.09,157.9
In$_{0.2}$Co$_{4}$Sb$_{12}$,polycrystalline,400.0006802,-2.757413853,3.52E-03,0.677502412,2.08031,-248.19
Cr$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,300.0000077,-3.293577536,9.09E-05,0.014074574,1.9384,21.5075
Ca$_{2.97}$Na$_{0.03}$AlSb$_{3}$,polycrystalline,700.0001133,-1.764471553,3.58E-04,0.297984496,0.84,248
WO$_{2.9}$,polycrystalline,400.0006809,-2.924033545,8.28E-05,0.010430437,3.1764,-31.41
TiNiSn,polycrystalline,700.0004857,-2.663540266,2.50E-03,0.31783268,5.51,-233
In$_{1.998}$Ge$_{0.002}$O$_{3}$,polycrystalline,700.0009919,-2.472221923,6.34E-04,0.113093689,3.92271,-146.168
Cr$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,700.0007437,-3.159098219,3.78E-04,0.098456051,2.6905,51.22
Ti$_{0.98}$Nb$_{0.02}$NiSn,polycrystalline,700.0000695,-3.041992599,3.92E-03,0.539039134,5.085,-188.543
Ba$_{0.4}$Sr$_{0.6}$PbO$_{3}$,polycrystalline,300.0009261,-2.384287666,1.66E-04,0.021697095,2.2948,-82.77
Cu$_{2}$Se,polycrystalline,1000.000016,-2.107905397,1.13E-03,1.517965927,0.745,297
La$_{0.99}$Sr$_{0.01}$CoO$_{3}$,polycrystalline,300.0004937,-0.804000001,9.94E-05,0.016495189,1.807,395
CaMn$_{0.98}$Nb$_{0.02}$O$_{3}$,polycrystalline,1000.000173,-1.510331147,2.00E-04,0.144503757,1.38075,-248.22
Mn$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,400.0003386,-3.132804842,1.30E-04,0.032042529,1.6274,30.9869
Mg$_{2}$Si$_{0.999}$Bi$_{0.001}$,polycrystalline,300.0003148,-2.839831707,1.58E-03,0.055522276,8.52,-151
Ba$_{7}$SrAl$_{16}$Si$_{30}$,polycrystalline,700.000561,-3.056520324,3.22E-04,0.091565242,2.46,-53.15
La$_{3}$Te$_{3.35}$Sb$_{0.65}$,polycrystalline,1000.00043,-2.163043263,7.12E-04,0.721599719,0.987,-221.2
Fe$_{1.96}$Ti$_{0.04}$O$_{3}$,polycrystalline,400.0009908,-0.669741667,5.53E-05,0.003218108,6.87,-343.86
Ba$_{8}$Au$_{6.10}$Si$_{38.97}$,polycrystalline,400.0005506,-3.153662888,4.63E-04,0.079426289,2.33,56.99
Sr$_{1.6}$La$_{0.4}$Nb$_{2}$O$_{7}$,single crystal,300.0001586,-2.301029996,2.29E-04,0.038163333,1.8,-107
Fe$_{1.96}$Sn$_{0.04}$O$_{3}$,polycrystalline,700.000372,-0.968634693,9.40E-05,0.015587038,4.22,-317.81
CuCr$_{0.97}$Mg$_{0.03}$O$_{2}$,polycrystalline,1000.000115,-1.327389608,2.25E-04,0.047104642,4.7763,325.374
CuCrO$_{2}$,polycrystalline,300.0002669,1.264071328,8.31E-06,0.000378505,6.5859,1235.43
Mo$_{3}$Te$_{4}$,polycrystalline,300.0002949,-3.148130399,2.35E-06,0.000184926,3.81187,4.08735
Ca$_{0.9}$Ho$_{0.1}$MnO$_{3}$,polycrystalline,400.0009465,-2.130862779,9.04E-05,0.02340048,1.545616006,-81.79
NbCo$_{1.10}$Sn,single crystal,400.0006237,-2.887103556,1.78E-03,0.122115456,5.83,-151.928
Zr$_{0.5}$Hf$_{0.5}$NiSn$_{1.994}$Sb$_{0.006}$,polycrystalline,700.0003203,-2.879886929,5.69E-03,1.3448,2.963660104,-274
Ca$_{2}$Co$_{2}$O$_{5}$,single crystal,700.0009643,-2.839438437,2.08E-03,0.559676118,2.6,173.46
Mg$_{2}$Si$_{0.994}$Bi$_{0.006}$,polycrystalline,300.0006255,-3.48148606,1.13E-03,0.051644691,6.55,-61
Ca$_{2.7}$Bi$_{0.3}$Co$_{4}$O$_{9}$,polycrystalline,700.0003947,-2.041197297,3.14E-04,0.10991039,2,169
Sr$_{0.9}$Y$_{0.1}$TiO$_{3}$,polycrystalline,700.0004249,-2.463441557,9.98E-04,0.139739901,5,-185.3
In$_{0.25}$Co$_{4}$Sb$_{12}$,polycrystalline,700.0004179,-2.780766614,4.59E-03,1.504651502,2.13453,-275.7
Ba$_{0.3}$Sr$_{0.6}$La$_{0.1}$TiO$_{3}$,polycrystalline,700.0009311,-2.563837353,9.73E-04,0.356678749,1.91,-163
Ba$_{8}$Ga$_{16}$Ge$_{30}$,polycrystalline,300.0000291,-2.550213153,7.88E-04,0.118216187,2,149
CeFe$_{3}$CoSb$_{12}$,polycrystalline,700.0000188,-2.88941029,2.40E-03,0.812013631,2.07,176
Ca$_{0.7}$Y$_{0.3}$MnO$_{3}$,polycrystalline,1000.000623,-2.150523462,5.23E-05,0.0340102,1.536920596,-60.8
Ti$_{0.95}$Nb$_{0.05}$NiSn,polycrystalline,400.000173,-3.402551642,3.11E-03,0.195021878,6.3783,-110.94
Mg$_{1.9}$Ca$_{0.1}$Si,polycrystalline,300.0006382,-2.674279142,1.76E-04,0.010140438,5.2,-61
Sn$_{1.2}$S$_{1.2}$Ti$_{2}$S$_{4}$,polycrystalline,400.0000957,-3.070581074,9.28E-04,0.182797798,2.03,-88.8
Fe$_{1.94}$Ti$_{0.06}$O$_{3}$,polycrystalline,300.000865,-0.385608061,2.73E-05,0.00128041,6.39,-335.01
SrDy$_{0.08}$Ti$_{0.92}$O$_{3}$,polycrystalline,700.0004728,-2.33845649,4.71E-04,0.104023136,3.17,-147
Zr$_{0.94}$Y$_{0.06}$NiSn$_{0.96}$Sb$_{0.04}$,polycrystalline,400.0004414,-3.103473783,1.51E-03,0.092641543,6.51,-109
La$_{2.74}$Te$_{4}$,polycrystalline,300.0009608,-2.568636236,6.23E-05,0.015062724,1.24,-41
CeFe$_{3.5}$Co$_{0.5}$Sb$_{12}$,polycrystalline,300.0000777,-3.049148541,8.51E-04,0.10643673,2.4,87.2
WO$_{2.9}$,polycrystalline,700.0006101,-2.977295385,1.96E-04,0.039515646,3.4727,-45.45
Ti$_{0.98}$Nb$_{0.02}$NiSn,polycrystalline,1000.000592,-3.017563224,3.16E-03,0.529517135,5.975,-174.312
CuRh$_{0.9}$Mg$_{0.1}$O$_{2}$,polycrystalline,1000.000012,-2.257294503,1.28E-03,0.152467292,8.39186,265.993
CaMn$_{0.96}$Ru$_{0.04}$O$_{3}$,polycrystalline,400.0005006,-2.123708821,1.91E-04,0.020374273,3.75786,-119.99
TiNiSn,polycrystalline,300.0003687,-1.502822999,2.34E-04,0.011567378,6.0761,-271.305
Cu$_{1.98}$Se,polycrystalline,400.0001018,-3.14327111,5.73E-04,0.132542468,1.73,64.2
Zr$_{0.99}$Nb$_{0.01}$NiSn,polycrystalline,300.0001703,-2.960558119,2.67E-03,0.082668744,9.6761,-170.876
Zr$_{0.25}$Hf$_{0.25}$Ti$_{0.5}$NiSn,polycrystalline,400.0007227,-2.470918864,3.22E-03,0.4288356,3.003,-329.939
La$_{2.99}$Te$_{4}$,polycrystalline,1000.000097,-3.011441043,5.73E-04,0.199618299,2.87,-74.7
Tl$_{0.02}$Pb$_{0.98}$Te,polycrystalline,300.0009229,-2.620886739,7.75E-04,0.107163649,2.16832,136.17
Yb$_{14}$MnSb$_{11}$,single crystal,300.0002164,-2.690452867,1.56E-04,0.055801689,0.84,56.4516
Yb$_{14}$MnSb$_{11}$,single crystal,400.0000675,-2.633930226,2.03E-04,0.096379224,0.844,68.7334
Ca$_{5}$Al$_{2}$Sb$_{6}$,polycrystalline,700.0002286,-0.629116983,6.48E-05,0.059326794,0.764,390
Ca$_{0.7}$Tb$_{0.3}$MnO$_{3}$,polycrystalline,700.000713,-2.2790927,5.82E-05,0.0278775,1.462482104,-55.34
TiNiSn,polycrystalline,1000.000727,-2.823908741,1.60E-03,0.207738867,7.71,-155
CaYb$_{0.05}$Mn$_{0.95}$O$_{3}$,polycrystalline,700.0004783,-1.807689074,1.82E-04,0.079617332,1.60159,-168.417
Zn$_{4}$Sb$_{3}$,polycrystalline,700.0006959,-2.478193983,1.27E-03,1.286961011,0.6933,205.872
Ca$_{0.9}$Y$_{0.1}$MnO$_{3}$,polycrystalline,400.0006489,-2.320902038,1.40E-04,0.03772212,1.482392228,-81.71
Ni$_{2.0}$Mo$_{6}$S$_{8}$,polycrystalline,300.0007406,-3.208822528,1.11E-05,0.001935215,1.7135,8.26675
Zn$_{0.995}$Al$_{0.005}$O,polycrystalline,700.0007075,-2.040000019,3.03E-04,0.015658013,13.525,-166.107
CaGd$_{0.96}$Mn$_{0.04}$O$_{3}$,polycrystalline,400.0001628,-1.890301406,2.08E-04,0.051454878,1.6149,-163.53
In$_{0.15}$Co$_{4}$Sb$_{12}$,polycrystalline,700.0000339,-2.570522268,3.38E-03,1.27177965,1.86154,-301.53
Ba$_{0.8}$Sr$_{0.2}$PbO$_{3}$,polycrystalline,300.000737,-3.335046046,1.29E-04,0.014141215,2.74566,-24.46
In$_{2}$O$_{3}$,polycrystalline,300.0000351,-1.869049007,1.80E-04,0.005590487,9.6695,-156.078
Ti$_{0.99}$Nb$_{0.01}$NiSn,polycrystalline,300.0008217,-2.937386056,2.72E-03,0.118473741,6.8928,-177.319
ZrNiSn,polycrystalline,1000.000127,-2.79865259,2.85E-03,0.42941353,6.6417,-212.937
In$_{1.985}$Ge$_{0.015}$O$_{3}$,polycrystalline,400.0009934,-3.087301385,3.92E-04,0.022224564,7.04775,-56.5928
In$_{2}$O$_{3}$,polycrystalline,400.0003761,-1.825396574,2.00E-04,0.011785614,6.77329,-172.722
Ti$_{0.95}$Nb$_{0.05}$NiSn,polycrystalline,300.000104,-3.455108818,2.64E-03,0.113786134,6.9595,-96.2097
Sb$_{0.005}$I$_{0.015}$Cs$_{0.995}$Bi$_{3.98}$Te$_{5.97}$,single crystal,300.0004966,-3.070581074,2.80E-03,0.559473882,1.5,154.2
Ca$_{2.85}$Na$_{0.15}$AlSb$_{3}$,polycrystalline,300.0009652,-1.560667306,4.61E-05,0.008698978,1.59,112.6
Pb$_{1.8}$S$_{1.8}$Ti$_{2}$S$_{4}$,polycrystalline,400.0007547,-3.137868621,6.89E-04,0.109728996,2.51,-70.8
Fe$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,400.0007656,-3.17193525,1.18E-04,0.025493657,1.8524,28.1894
Bi$_{2}$Sr$_{2}$Co$_{2}$O$_{8}$,single crystal,700.0003848,-2.558177657,1.06E-03,0.3597171,2.0678,171.43
Ba$_{8}$Au$_{5.14}$Si$_{39.51}$,polycrystalline,300.0000071,-2.48148606,3.15E-04,0.05085044,1.86,-102
Zr$_{0.4}$Hf$_{0.4}$Ti$_{0.2}$NiSn,polycrystalline,700.0005187,-2.752854399,4.33E-03,0.949138206,3.196,-276.689
CaYb$_{0.05}$Mn$_{0.95}$O$_{3}$,polycrystalline,1000.000429,-1.72899062,3.21E-04,0.199082397,1.61396,-244.888
Si$_{0.8}$Ge$_{0.2}$,polycrystalline,400.0001268,-2.888765051,1.48E-03,0.235493287,2.51953,138.43
TiNiSn,polycrystalline,300.0008742,-2.124938737,5.33E-04,0.020725389,7.72,-200
Si$_{0.8}$Ge$_{0.2}$,polycrystalline,300.000751,-2.928765869,1.24E-03,0.151567098,2.44922,120.75
CaMn$_{0.96}$Ru$_{0.04}$O$_{3}$,polycrystalline,700.0008065,-1.992102932,1.85E-04,0.039949192,3.23973,-137.22
Ca$_{0.7}$Ho$_{0.3}$MnO$_{3}$,polycrystalline,300.0008959,-2.290852202,3.73E-05,0.00521868,2.143851851,-43.69
Mg$_{2}$Si$_{0.6}$Ge$_{0.4}$Bi$_{0.02}$,polycrystalline,1000.000817,-2.657577319,1.60E-03,0.925677614,1.73,-187.7
SrTi$_{0.8}$Nb$_{0.2}$O$_{3}$,polycrystalline,400.0001303,-2.84757252,2.74E-04,0.012720218,8.62,-62.4
Sr$_{0.61}$Ba$_{0.39}$Nb$_{2}$O$_{6}$,single crystal,300.0007176,-0.978726042,3.29E-05,0.005928401,1.667,-186
Ca$_{0.96}$Bi$_{0.04}$Mn$_{0.96}$Nb$_{0.04}$O$_{3}$,polycrystalline,300.0006276,-2.052360013,9.38E-05,0.012410311,2.2675,-91.19
Zr$_{0.98}$Nb$_{0.02}$NiSn,polycrystalline,1000.000917,-3.021544654,4.05E-03,0.651557074,6.2083,-196.196
La$_{3}$Te$_{3.35}$Bi$_{0.65}$,polycrystalline,300.000591,-2.148741651,7.10E-05,0.010828673,1.967,-71
In$_{1.9}$Ge$_{0.1}$O$_{3}$,polycrystalline,300.0005075,-2.878968984,2.15E-04,0.00940658,6.84738,-53.2639
Si$_{0.79936}$Ge$_{0.19984}$B$_{0.0008}$,polycrystalline,1000.000091,-2.53040476,2.09E-03,0.580112442,3.59911,248.114
Cu$_{1.98}$Se,polycrystalline,1000.000082,-2.488116639,1.25E-03,1.230837438,1.015,201.5
Zr$_{0.95}$Nb$_{0.05}$NiSn,polycrystalline,400.0002705,-3.43850149,2.18E-03,0.105970331,8.2117,-89.0283
In$_{1.8}$Ge$_{0.2}$O$_{3}$,polycrystalline,700.0005391,-2.613094575,3.06E-04,0.116776249,1.83597,-86.4
La$_{3}$Te$_{3.35}$Sb$_{0.65}$,polycrystalline,300.0009253,-1.744727495,4.60E-05,0.009388889,1.47,-91
Ca$_{0.9}$Y$_{0.1}$MnO$_{3}$,polycrystalline,300.0000206,-2.359022935,1.14E-04,0.02291151,1.488878233,-70.53
Fe$_{0.978}$Co$_{0.00196}$Si$_{1.96}$Y$_{0.12}$O$_{0.18}$,polycrystalline,700.0006487,-1.28567024,9.51E-05,0.0225,2.96,-222
TiNiSn,polycrystalline,400.0000243,-2.292429824,1.18E-03,0.07005719,6.72,-245
Mn$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,1000.000245,-3.017033548,3.43E-04,0.119165632,2.8822,57.4673
Si$_{0.8}$Ge$_{0.2}$,polycrystalline,700.0006983,-2.747857464,2.05E-03,0.55966257,2.56641,191.49
Ti$_{0.99}$Nb$_{0.01}$NiSn,polycrystalline,700.0008277,-2.894326687,3.50E-03,0.508510843,4.8184,-211.295
Ba$_{8}$Ga$_{18}$Ge$_{28}$,polycrystalline,400.0006382,-2.14611935,1.78E-04,0.05098462,1.4,-112.9
Mg$_{2}$Si$_{0.98}$Bi$_{0.02}$,polycrystalline,400.0006898,-2.91721463,1.01E-03,0.07143602,5.63,-110.3
Pb$_{0.98}$Sr$_{0.2}$TeNa$_{0.1}$,polycrystalline,300.0001558,-3.387746094,1.13E-03,1.11E-01,3.07E+00,68
Ca$_{0.98}$Bi$_{0.02}$Mn$_{0.98}$Nb$_{0.02}$O$_{3}$,polycrystalline,700.0006811,-1.586459998,1.31E-04,0.048845628,1.87848,-184.31
