formula,Crystallinity,Temperature (K),log Resistivity,Power factor (W*m/K^2),ZT,Thermal conductivity (W/(m*K)),Seebeck coefficient (uV/K)
Ba$_{7}$SrAl$_{16}$Si$_{30}$,polycrystalline,400.0002698,-3.180238314,1.72E-04,0.029608249,2.33,-33.75
CuCr$_{0.99}$Mg$_{0.01}$O$_{2}$,polycrystalline,400.0007358,0.244947224,1.13E-05,0.000702824,6.4029,444.688
Zr$_{0.4}$Hf$_{0.4}$Ti$_{0.2}$NiSn,polycrystalline,300.0007743,-2.043679785,3.94E-04,0.030958179,3.814,-188.659
Ca$_{2.7}$Bi$_{0.3}$Co$_{4}$O$_{9}$,polycrystalline,400.0009679,-1.993277308,1.95E-04,0.041095002,1.9,140.8
Ca$_{2.85}$Na$_{0.15}$AlSb$_{3}$,polycrystalline,400.0001749,-1.728158393,1.24E-04,0.039855097,1.24,152
CaMnO$_{3}$,polycrystalline,1000.000479,-1.073657553,9.44E-05,0.0457147,2.06537,-282.213
Cu$_{4.0}$Mo$_{6}$S$_{8}$,polycrystalline,300.0005027,-3.080017111,2.75E-04,0.061143091,1.3479,47.8006
Mg$_{2}$Si$_{0.995}$Bi$_{0.005}$,polycrystalline,400.0007908,-3.402304814,1.76E-03,0.130178868,5.41,-83.5
Ca$_{4.75}$Na$_{0.25}$Al$_{2}$Sb$_{6}$,polycrystalline,400.000781,-2.2644011,4.76E-04,0.164306542,1.16,161
Fe$_{0.998}$Co$_{0.002}$Si$_{2}$,polycrystalline,300.0008709,-1.32330639,7.68E-05,0.00404932,5.69,-191
Ca$_{0.9}$Tb$_{0.1}$MnO$_{3}$,polycrystalline,300.0004899,-2.239354395,9.76E-05,0.01972878,1.48358962,-74.98
Mg$_{2}$Si$_{0.993}$Bi$_{0.007}$,polycrystalline,400.0008198,-3.458420756,1.78E-03,0.125019427,5.68,-78.6
Zn$_{4}$Sb$_{3}$,polycrystalline,300.0007746,-2.636592995,6.46E-04,0.251703686,0.77,122.133
Ca$_{2}$Co$_{2}$O$_{5}$,single crystal,1000.000117,-2.860605832,3.12E-03,1.074714975,2.9,207.27
Zr$_{0.5}$Hf$_{0.5}$NiSn$_{1.994}$Sb$_{0.006}$,polycrystalline,300.0003696,-2.93330145,3.82E-03,0.414,2.766860566,-211
Ca$_{3}$Co$_{4}$O$_{9}$,single crystal,700.0001612,-2.635824367,1.68E-03,0.372858721,3.15,197
Ni$_{2.0}$Mo$_{6}$S$_{8}$,polycrystalline,700.0007601,-3.34033951,9.49E-05,0.015683881,4.2372,20.8232
CuCr$_{0.95}$Mg$_{0.05}$O$_{2}$,polycrystalline,400.0000285,-1.262421754,1.07E-04,0.0047257,9.0158,241.265
Li$_{0.0242}$Ni$_{0.9758}$O,polycrystalline,1000.000921,-2.411796441,1.63E-04,0.063968983,2.54979,79.49
Li$_{0.0066}$Ni$_{0.9944}$O,polycrystalline,1000.000212,-1.545484018,1.50E-04,0.02826674,5.30518,206.66
SrTi$_{0.8}$Nb$_{0.2}$O$_{3}$,polycrystalline,300.0007893,-2.335518047,8.74E-05,0.003295691,7.96,-63.5492
Si$_{0.7956}$Ge$_{0.1989}$P$_{0.0055}$,polycrystalline,300.0006794,-2.931810426,1.29E-03,0.093418564,4.13947,-122.807
CaMnO$_{3}$,polycrystalline,1000.000252,-1.078796979,1.23E-04,0.058867739,2.09242,-320.53
La$_{2.99}$Te$_{4}$,polycrystalline,700.0005915,-3.095825632,4.14E-04,0.101964806,2.84,-57.6
Ti$_{0.99}$Nb$_{0.01}$NiSn,polycrystalline,400.000563,-2.906543643,2.99E-03,0.203822375,5.8617,-192.458
CaGd$_{0.96}$Mn$_{0.04}$O$_{3}$,polycrystalline,700.0008281,-1.933053272,2.56E-04,0.13283632,1.34638,-172.65
Si$_{0.79936}$Ge$_{0.19984}$B$_{0.0008}$,polycrystalline,700.0007207,-2.660655903,2.02E-03,0.369646753,3.81657,209.823
SrDy$_{0.08}$Ti$_{0.92}$O$_{3}$,polycrystalline,1000.00029,-2.079181263,4.41E-04,0.148325495,2.97,-191.6
Mg$_{2}$Si$_{0.997}$Bi$_{0.003}$,polycrystalline,400.0009399,-3.266802735,1.89E-03,0.15845229,4.76,-101
ZrNiSn,polycrystalline,300.0005179,-1.502822999,3.98E-04,0.011778524,10.1428,-353.714
Na$_{0.02}$PbTe$_{0.75}$Se$_{0.25}$,polycrystalline,300.0001309,-3.290393422,6.75E-04,0.075096639,2.69643,58.81
Zr$_{0.98}$Nb$_{0.02}$NiSn,polycrystalline,700.0004738,-3.058513413,4.29E-03,0.465705367,6.4517,-193.681
Tl$_{2}$SnTe$_{5}$,polycrystalline,300.0000311,-2.363512104,6.14E-04,0.027271234,6.75,163
Fe$_{1.96}$Sn$_{0.04}$O$_{3}$,polycrystalline,1000.000665,-1.059040586,1.20E-04,0.038917217,3.08,-323.46
Mg$_{2}$Si$_{0.6}$Ge$_{0.4}$Ag$_{0.02}$,polycrystalline,1000.000058,-2.2644011,9.22E-04,0.265043949,3.48,224
Ba$_{8}$Ga$_{16}$Ge$_{30}$,single crystal,300.0009645,-3.180456064,2.77E-04,0.04894993,1.7,-42.79
Sr$_{2}$Ti$_{0.8}$Nb$_{0.2}$O$_{4}$,polycrystalline,400.0008115,-2.246498599,8.06E-05,0.008981679,3.59,-67.6
Zr$_{0.95}$Nb$_{0.05}$NiSn,polycrystalline,700.0003256,-3.324498449,3.53E-03,0.370509064,6.6684,-129.304
Ba$_{8}$Au$_{5.14}$Si$_{39.51}$,polycrystalline,700.000179,-2.542118103,3.36E-04,0.096098183,2.45,-98.25
SrNd$_{0.24}$Ti$_{0.76}$O$_{3}$,polycrystalline,700.0000125,-2.729974377,3.50E-04,0.06510758,3.76,-80.7
La$_{3}$Te$_{3.35}$Sb$_{0.65}$,polycrystalline,700.000908,-2.142064735,3.52E-04,0.210575803,1.17,-159.3
Fe$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,300.000078,-3.187086643,7.88E-05,0.015874132,1.4885,22.6264
Sr$_{0.147}$Ga$_{0.298}$Ge$_{0.555}$,polycrystalline,300.0009456,-2.581698709,9.05E-04,0.223320108,1.216,-154
Si$_{0.7956}$Ge$_{0.1989}$P$_{0.0055}$,polycrystalline,700.0006589,-2.711632265,2.74E-03,0.51588803,3.72337,-230.877
NaCo$_{2}$O$_{4}$,polycrystalline,1000.000021,-2.397940009,7.66E-04,0.344302289,2.2237,175
Nd$_{2}$Cu$_{0.98}$Ni$_{0.02}$O$_{4}$,polycrystalline,700.0007246,-1.665216632,4.49E-05,0.005984998,5.25,-98.5
Mg$_{1.95}$Ca$_{0.05}$Si,polycrystalline,700.000565,-2.592779107,9.17E-04,0.168840415,3.8,-153
Zr$_{0.5}$Hf$_{0.5}$NiSn$_{1.998}$Sb$_{0.002}$,polycrystalline,700.0004811,-2.811352704,6.10E-03,1.45,2.946859925,-307
Sr$_{0.61}$Ba$_{0.39}$Nb$_{2}$O$_{6}$,single crystal,700.0006948,-2.853871964,2.89E-03,0.930169913,2.1717,-201
CaYb$_{0.05}$Mn$_{0.95}$O$_{3}$,polycrystalline,400.0007491,-1.974305083,1.47E-04,0.039848239,1.47173,-124.72
Ca$_{2}$Co$_{2}$O$_{5}$,single crystal,400.000293,-2.833667591,1.38E-03,0.23521233,2.35,142.36
CeFe$_{4}$Sb$_{12}$,polycrystalline,400.0008405,-3.077793723,6.85E-04,0.174640844,1.57,75.7
Ca$_{3}$AlSb$_{3}$,polycrystalline,1000.000194,-0.948076084,6.25E-05,0.090317483,0.692,265.4
CeFe$_{3.5}$Co$_{0.5}$Sb$_{13}$,polycrystalline,400.0007649,-3.01278077,1.18E-03,0.198167011,2.38,107
Zr$_{0.35}$Hf$_{0.35}$Ti$_{0.3}$NiSn,polycrystalline,400.0002952,-2.255510651,2.59E-03,0.365565734,2.837,-379.426
Mg$_{2}$Si$_{0.6}$Ge$_{0.4}$Ag$_{0.02}$,polycrystalline,300.0003496,-1.289882635,1.80E-06,0.000131668,4.11,30.42
In$_{2}$O$_{3}$,polycrystalline,700.0006364,-1.710317421,2.10E-04,0.038004955,3.86562,-202.219
CaYb$_{0.1}$Mn$_{0.9}$O$_{3}$,polycrystalline,300.0007096,-2.409026716,7.15E-05,0.012433026,1.72527,-52.8011
In$_{0.2}$Co$_{4}$Sb$_{12}$,polycrystalline,300.0002628,-2.945249096,3.26E-03,0.380118325,2.57047,-192.21
Nd$_{2}$CuO$_{4}$,polycrystalline,400.000309,0.334783368,1.77E-05,0.000516571,13.7,-618.43
NaCo$_{2}$O$_{4}$,polycrystalline,300.0005294,-2.675717545,5.14E-04,0.080921257,1.904,104
AgCrSe$_{2}$,polycrystalline,700.0002806,-1.483327154,2.86E-04,0.974581824,0.2056,306.696
Pb$_{0.96}$Sr$_{0.4}$TeNa$_{0.2}$,polycrystalline,400.0006089,-3.073351494,1.94E-03,3.65E-01,2.13E+00,128
Ca$_{0.9}$Nd$_{0.1}$MnO$_{3}$,polycrystalline,400.0002084,-1.923213966,6.83E-05,0.01132081,2.41307,-90.28
Bi$_{1.2}$S$_{1.2}$Ti$_{2}$S$_{4}$,polycrystalline,300.0002365,-3.48945499,5.26E-04,0.053719136,2.94,-41.3
Sr$_{0.146}$Ga$_{0.285}$Ge$_{0.569}$,polycrystalline,300.0006089,-2.71219827,8.45E-04,0.239019646,1.06,-128
Bi$_{2}$Te$_{3}$,single crystal,300.0008525,-3.259637311,4.77E-03,0.975,1.468195804,162
Sr$_{3}$Ti$_{1.6}$Nb$_{0.4}$O$_{7}$,polycrystalline,400.0003072,-2.66275784,1.50E-04,0.015454418,3.89,-57.16
In$_{0.2}$Co$_{4}$Sb$_{12}$,polycrystalline,700.0003401,-2.796401484,3.83E-03,1.385962072,1.93658,-247.54
Sm$_{0.5}$Ca$_{0.5}$MnO$_{3}$,polycrystalline,300.0004932,-2.01988068,1.11E-05,0.001753013,1.9,-32.5663
La$_{0.98}$Sr$_{0.02}$CoO$_{3}$,polycrystalline,300.0008112,-1.160000001,1.57E-04,0.026234732,1.8,330
In$_{1.94}$Ge$_{0.06}$O$_{3}$,polycrystalline,400.0004342,-3.001984039,3.69E-04,0.02235983,6.6037,-60.6186
NaCo$_{2}$O$_{4}$,single crystal,700.0006515,-3.315154638,4.40E-03,0.540286341,5.7025,146
Ca$_{0.9}$Bi$_{0.1}$MnO$_{3}$,polycrystalline,300.0009021,-2.431143337,1.84E-04,0.015401826,3.5909,-82.6524
CuCr$_{0.99}$Mg$_{0.01}$O$_{2}$,polycrystalline,1000.00081,-0.436533154,5.43E-05,0.01097686,4.9475,445.826
CeFe$_{3}$CoSb$_{12}$,polycrystalline,300.0006055,-2.832027287,5.09E-04,0.1113909,1.37,86.5388
Ba$_{8}$Ga$_{16}$Ge$_{30}$,single crystal,1000.000235,-2.699839463,2.00E-03,1.401404207,1.43,-200
ZrNiSn$_{0.98}$Sb$_{0.02}$,polycrystalline,300.00097,-3.223298816,2.14E-03,0.075362975,8.5,-113
SrNd$_{0.17}$Ti$_{0.83}$O$_{3}$,polycrystalline,1000.000752,-2.378397944,4.81E-04,0.141466893,3.397,-141.8
Li$_{0.0242}$Ni$_{0.9758}$O,polycrystalline,700.000786,-2.312868863,1.23E-04,0.024636562,3.49599,77.37
Ca$_{2.97}$Na$_{0.03}$AlSb$_{3}$,polycrystalline,1000.000194,-1.764471553,4.81E-04,0.717253124,0.67,287.5
Pb$_{0.98}$TeNa$_{0.2}$,polycrystalline,400.0004264,-3.23954962,1.91E-03,2.41E-01,3.18E+00,105
SrNd$_{0.24}$Ti$_{0.76}$O$_{3}$,polycrystalline,1000.000402,-2.495544362,4.81E-04,0.14946236,3.22,-124
CaYb$_{0.15}$Mn$_{0.85}$O$_{3}$,polycrystalline,700.0008015,-2.317299995,7.72E-05,0.032386419,1.66961,-60.9944
In$_{1.985}$Ge$_{0.015}$O$_{3}$,polycrystalline,1000.000469,-2.843254037,8.20E-04,0.231919011,3.53581,-108.464
CaMnO$_{3}$,polycrystalline,300.000097,0.843568978,3.26E-06,0.000326866,2.9898,-476.683
La$_{3}$Te$_{3.65}$Sb$_{0.35}$,polycrystalline,300.0000358,-2.958607315,2.55E-04,0.037370288,2.05,-53
Zn$_{4}$Sb$_{3}$,polycrystalline,400.0000233,-2.573518018,8.24E-04,0.44564167,0.74,148.361
Ti$_{0.98}$Nb$_{0.02}$NiSn,polycrystalline,300.0000775,-3.18447538,3.00E-03,0.121054378,7.4261,-139.982
Ca$_{0.7}$Ho$_{0.3}$MnO$_{3}$,polycrystalline,700.0008218,-2.424025132,6.90E-05,0.03408846,1.416678012,-50.98
Ba$_{8}$Ga$_{16}$Ge$_{30}$,polycrystalline,300.0005494,-3.106793247,3.15E-04,0.062217051,1.52,-49.65
La$_{3}$Te$_{3.8}$Sb$_{0.2}$,polycrystalline,300.0003469,-3.27572413,3.82E-04,0.047719668,2.402,-45
Pb$_{1.8}$S$_{1.8}$Ti$_{2}$S$_{4}$,polycrystalline,700.000131,-2.66274046,7.64E-04,0.274353006,1.95,-128.9
Ca$_{3}$Co$_{4}$O$_{9}$,single crystal,300.0003308,-2.705313376,7.99E-04,0.068299098,3.51,125.5
Ca$_{0.7}$Y$_{0.3}$MnO$_{3}$,polycrystalline,400.0005279,-2.187615468,2.67E-05,0.00727684,1.46749541,-41.63
La$_{0.8}$Sr$_{0.2}$CoO$_{3}$,polycrystalline,300.0004623,-3.330000131,9.72E-05,0.00788839,3.69579,21.32
Mg$_{2}$Si$_{0.999}$Bi$_{0.001}$,polycrystalline,400.0000616,-2.768020973,1.58E-03,0.111175665,5.7,-164.4
CaGd$_{0.94}$Mn$_{0.06}$O$_{3}$,polycrystalline,1000.000439,-2.05230142,2.36E-04,0.121469186,1.94512,-144.73
Ag$_{9}$TlTe$_{5}$,polycrystalline,300.0001645,-0.594482893,5.92E-05,0.088764151,0.2,388
Ba$_{8}$Ga$_{18}$Ge$_{28}$,polycrystalline,300.0001816,-2.109914473,8.02E-05,0.01603609,1.5,-78.9
CuCr$_{0.95}$Mg$_{0.05}$O$_{2}$,polycrystalline,700.0001993,-1.390781359,1.95E-04,0.0168798,8.0871,281.605
CuCr$_{0.95}$Mg$_{0.05}$O$_{2}$,polycrystalline,1000.000139,-1.389335579,2.60E-04,0.037136033,6.9878,325.387
SrNb$_{0.15}$Ti$_{0.85}$O$_{3}$,polycrystalline,1000.000504,-1.612154208,1.28E-04,0.041526869,3.078,-176.694
NbCo$_{1.10}$Sn,single crystal,700.0003829,-2.73449823,1.94E-03,0.218130295,6.23152,-189.172
Fe$_{0.978}$Co$_{0.00196}$Si$_{1.96}$Y$_{0.04}$O$_{0.06}$,polycrystalline,700.0003096,-1.619788758,3.43E-04,0.060820992,3.95,-287
Ca$_{0.9}$Tb$_{0.1}$MnO$_{3}$,polycrystalline,1000.000402,-1.735271878,9.19E-05,0.049893485,1.84225,-130.04
AgCrSe$_{2}$,polycrystalline,400.0001961,-1.395554694,2.24E-04,0.224057186,0.3998,300.119
CaMn$_{0.98}$Nb$_{0.02}$O$_{3}$,polycrystalline,700.0007593,-1.547324402,1.94E-04,0.083293437,1.63069,-234.57
ZnO,polycrystalline,700.0009809,0.251881455,6.09E-06,0.000291113,14.65,-329.869
Ca$_{2.97}$Na$_{0.03}$AlSb$_{3}$,polycrystalline,400.0001352,-1.336299075,5.89E-05,0.019004296,1.24,164.8
NaCo$_{2}$O$_{4}$,polycrystalline,400.0005451,-2.596879479,5.51E-04,0.120081428,1.834,118
Ca$_{0.9}$Yb$_{0.1}$MnO$_{3}$,polycrystalline,700.0006716,-2.222531853,2.56E-04,0.111359887,1.60943,-123.85
Zr$_{0.5}$Hf$_{0.5}$NiSn$_{1.998}$Sb$_{0.002}$,polycrystalline,300.0007562,-2.618343517,2.60E-03,0.2697,2.887113404,-250
SrNb$_{0.15}$Ti$_{0.85}$O$_{3}$,polycrystalline,700.000658,-1.258177363,1.81E-05,0.003633236,3.49,-99.982
TiNiSn,polycrystalline,700.000905,-2.55892683,2.36E-03,0.362358717,4.5516,-255.058
Sr$_{0.61}$Ba$_{0.39}$Nb$_{2}$O$_{6}$,polycrystalline,300.0000826,-1.208441357,7.82E-05,0.014075777,1.667,-220
Mg$_{2}$Si$_{0.995}$Bi$_{0.005}$,polycrystalline,700.0002863,-3.2069084,2.37E-03,0.385970744,4.29,-121.2
Zr$_{0.95}$Nb$_{0.05}$NiSn,polycrystalline,300.0005462,-3.472049329,1.81E-03,0.061376527,8.8594,-78.184
NbCo$_{1.05}$Sn,single crystal,1000.000413,-2.525906172,2.11E-03,0.27533795,7.6719,-250.86
Ca$_{5}$Al$_{2}$Sb$_{6}$,polycrystalline,300.0002625,-0.339988779,4.83E-05,0.009414235,1.54,470
Ca$_{0.9}$Ho$_{0.1}$MnO$_{3}$,polycrystalline,400.0009055,-2.156074275,1.17E-04,0.022586208,2.06759,-90.28
Mo$_{6}$Te$_{7}$S,polycrystalline,400.000958,-3.106238238,3.84E-06,0.00049533,3.09729,5.48011
Nd$_{2}$CuO$_{4}$,polycrystalline,700.0003054,-1.613042904,4.08E-05,0.006813229,4.19,-99.7
Ca$_{0.7}$Tb$_{0.3}$MnO$_{3}$,polycrystalline,400.0008214,-2.259683111,3.58E-05,0.00976228,1.465854004,-44.36
Mg$_{2}$Si$_{0.6}$Ge$_{0.4}$Bi$_{0.02}$,polycrystalline,700.0006308,-2.863279433,2.27E-03,0.817687862,1.94,-176.2
CaYb$_{0.15}$Mn$_{0.85}$O$_{3}$,polycrystalline,400.0003868,-2.444826926,6.73E-05,0.017140379,1.57067,-49.1597
Sr$_{2}$Ti$_{0.8}$Nb$_{0.2}$O$_{4}$,polycrystalline,1000.000613,-1.875061274,2.09E-04,0.108941406,1.92,-167
Pb$_{0.98}$Sr$_{0.2}$TeNa$_{0.1}$,polycrystalline,400.0005777,-3.150756305,1.94E-03,3.47E-01,2.23E+00,117
Yb$_{14}$MnSb$_{11}$,single crystal,700.0004171,-2.460522427,3.97E-04,0.340484029,0.816,117.242
Zn$_{4}$Sb$_{3}$,polycrystalline,400.0007769,-2.60786606,9.75E-04,0.524900307,0.743,155.085
In$_{1.998}$Ge$_{0.002}$O$_{3}$,polycrystalline,400.0000727,-2.628969101,4.77E-04,0.027820846,6.85319,-105.832
Sn$_{1.2}$S$_{1.2}$Ti$_{2}$S$_{4}$,polycrystalline,700.0001481,-2.66274046,9.12E-04,0.377708802,1.69,-140.8
CeFe$_{4}$Sb$_{12}$,polycrystalline,300.0004195,-3.112945622,4.39E-04,0.085031756,1.55,58.2
CaYb$_{0.1}$Mn$_{0.9}$O$_{3}$,polycrystalline,700.0000037,-2.211385539,1.17E-04,0.050580993,1.61396,-84.6639
Mg$_{2}$Si,polycrystalline,300.0003696,-2.914352712,2.60E-03,0.107640564,7.25,-178
Zn$_{0.9975}$Al$_{0.0025}$O,polycrystalline,1000.000701,-1.91110433,8.14E-04,0.426280342,1.9089,-316
Na$_{0.02}$PbTe$_{0.75}$Se$_{0.25}$,polycrystalline,700.0008088,-2.786997859,2.58E-03,1.392715388,1.29643,205.24
Ca$_{3}$Co$_{4}$O$_{9}$,polycrystalline,1000.000826,-2.0473044,3.49E-04,0.19962406,1.75,177
CuCr$_{0.98}$Mg$_{0.02}$O$_{2}$,polycrystalline,300.0004081,0.019211866,9.29E-06,0.000368593,7.5581,311.548
NbCo$_{1.10}$Sn,single crystal,300.0003616,-2.95458313,1.54E-03,0.07963356,5.80227,-130.766
Ca$_{2.94}$Na$_{0.06}$AlSb$_{3}$,polycrystalline,1000.000453,-1.872895202,5.12E-04,0.73390925,0.698,262
Ba$_{8}$Ga$_{18}$Ge$_{28}$,polycrystalline,700.000144,-2.129713171,6.47E-04,0.411440231,1.1,-219
Li$_{0.0024}$Ni$_{0.9976}$O,polycrystalline,700.0004729,-0.580230234,2.37E-05,0.001458067,11.391,249.75
In$_{0.1}$Co$_{4}$Sb$_{12}$,polycrystalline,300.0002747,-2.534569557,2.27E-03,0.310801835,2.18825,-257.3
In$_{0.05}$Co$_{4}$Sb$_{12}$,polycrystalline,700.0003163,-2.073918517,1.33E-03,0.594360115,1.56386,-334.67
Cu$_{4.0}$Mo$_{6}$S$_{8}$,polycrystalline,1000.000304,-2.661772667,8.12E-04,0.39819721,2.0386,132.993
Bi$_{2}$Sr$_{2}$Co$_{2}$O$_{8}$,single crystal,1000.000969,-2.435546993,2.35E-03,1.191133093,1.9731,293.62
Pb$_{0.98}$TeNa$_{0.2}$,polycrystalline,700.0009352,-2.647383019,2.47E-03,1.20E+00,1.44E+00,236
Zr$_{0.5}$Hf$_{0.5}$NiSn,polycrystalline,700.0004697,-2.626850672,2.40E-03,0.539,3.113096927,-237.912
Li$_{0.0024}$Ni$_{0.9976}$O,polycrystalline,1000.000566,-1.331573051,1.48E-04,0.017497599,8.44401,262.41
Ca$_{4.75}$Na$_{0.25}$Al$_{2}$Sb$_{6}$,polycrystalline,300.0002058,-2.295849483,4.02E-04,0.083262737,1.45,142.7
Ag$_{0.15}$Sb$_{0.15}$Te$_{1.15}$Ge$_{0.85}$,single crystal,300.0007357,-3.158491618,8.91E-04,0.178443558,1.49875,78.67
Pb$_{0.98}$Sr$_{0.2}$TeNa$_{0.1}$,polycrystalline,700.0001163,-2.521138111,2.30E-03,1.56E+00,1.03E+00,263
Ba$_{8}$Au$_{6.10}$Si$_{38.97}$,polycrystalline,700.0008815,-3.102922997,7.49E-04,0.177710375,2.95,76.87
Sr$_{0.9}$Y$_{0.1}$TiO$_{3}$,polycrystalline,1000.000254,-2.179535809,7.86E-04,0.174659813,4.5,-228
Ca$_{0.9}$Ho$_{0.1}$MnO$_{3}$,polycrystalline,1000.000134,-1.903089987,1.35E-04,0.060406906,2.23936,-130.04
SrNd$_{0.2}$Ti$_{0.8}$O$_{3}$,polycrystalline,700.0002035,-2.709269961,4.56E-04,0.092574824,3.45,-94.4
Zn$_{0.98}$Al$_{0.02}$O,polycrystalline,700.0006662,-2.830000114,1.99E-03,0.112228538,12.4,-171.48
Zr$_{0.5}$Hf$_{0.5}$NiSn,polycrystalline,300.0002819,-2.011090271,3.28E-04,0.024064225,4.087,-178.765
Zn$_{4}$Sb$_{3}$,polycrystalline,300.0000807,-2.672448997,7.57E-04,0.298944741,0.76,126.887
NbCoSn,single crystal,700.000062,-2.692420534,1.39E-03,0.099979863,9.74108,-168.074
Tl$_{9}$BiTe$_{6}$,polycrystalline,300.0001518,-2.192464972,1.02E-03,0.636679814,0.481,256
SrTi$_{0.8}$Nb$_{0.2}$O$_{3}$,polycrystalline,1000.000489,-2.249790083,4.73E-04,0.185091706,2.555,-163.115
Cu$_{2}$Se,polycrystalline,300.0003587,-3,8.10E-04,0.250515464,0.97,90
In$_{0.3}$Co$_{4}$Sb$_{12}$,polycrystalline,400.0008247,-2.746327678,3.41E-03,0.631923014,2.15872,-247.31
Ca$_{0.7}$Y$_{0.3}$MnO$_{3}$,polycrystalline,300.0009847,-2.117673017,2.27E-05,0.00379719,1.793253904,-41.61
SrNd$_{0.2}$Ti$_{0.8}$O$_{3}$,polycrystalline,1000.000608,-2.40312054,4.96E-04,0.155117618,3.1968,-140
Sr$_{0.9}$La$_{0.1}$TiO$_{3}$,polycrystalline,1000.000392,-2.10058762,6.16E-04,0.195461682,3.15,-221
BaPbO$_{3}$,polycrystalline,400.0005135,-3.292933386,2.01E-04,0.019323409,4.15607,-31.98
Mg$_{2}$Si$_{0.997}$Bi$_{0.003}$,polycrystalline,300.0008615,-3.311580178,1.20E-03,0.058556925,6.16,-76.6
Sr$_{0.61}$Ba$_{0.39}$Nb$_{2}$O$_{6}$,single crystal,300.0007003,-2.548830916,3.02E-04,0.054370144,1.667,-92.4
Fe$_{1.94}$Ti$_{0.06}$O$_{3}$,polycrystalline,1000.000152,-1.239852317,1.51E-04,0.045042023,3.35,-294.72
Ba$_{0.6}$Sr$_{0.4}$PbO$_{3}$,polycrystalline,300.000825,-2.884053498,1.35E-04,0.017568967,2.30636,-42
